EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,Education,JobLevel,MonthlyIncome,SalaryBand,PercentSalaryHike,StockOptionLevel,BusinessTravel,DistanceFromHome,OverTime,TotalWorkingYears,NumCompaniesWorked,YearsAtCompany,TenureBand,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PromotedRecently,TrainingTimesLastYear,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,JobInvolvement,WorkLifeBalance,PerformanceRating,Attrition,PredictedAttritionRisk,RiskTier
1013,49,Male,Divorced,Research & Development,Research Director,Technical Degree,3,5,16090,15K+ (High),13,0,Travel_Rarely,24,Yes,25,6,0,0-1 yr,0,0,0,Promoted <=1yr,6,3,3,2,2,3,3,No,0.7095,High
1014,46,Male,Married,Research & Development,Manufacturing Director,Technical Degree,4,5,11959,10K-15K,11,0,Travel_Rarely,6,No,23,3,4,4-6 yr,4,4,0,Not Recently Promoted,5,3,3,3,3,2,3,Yes,0.403,Moderate
1015,44,Male,Married,Research & Development,Research Director,Life Sciences,3,5,16595,15K+ (High),17,0,Travel_Rarely,1,No,24,1,3,2-3 yr,2,1,0,Promoted <=1yr,4,3,2,3,3,1,3,No,0.2455,Low
1016,27,Male,Single,Research & Development,Laboratory Technician,Technical Degree,4,2,4234,3K-6K,15,0,Travel_Rarely,5,No,3,1,3,2-3 yr,2,2,1,Not Recently Promoted,1,1,2,2,3,4,3,No,0.4998,Moderate
1017,44,Male,Divorced,Human Resources,Manager,Other,3,4,11800,10K-15K,11,1,Travel_Rarely,1,No,20,2,9,7-10 yr,0,6,3,Not Recently Promoted,5,1,2,1,1,4,3,No,0.4966,Moderate
1018,38,Male,Single,Human Resources,Manager,Human Resources,4,4,11685,10K-15K,21,2,Travel_Rarely,7,No,16,5,7,7-10 yr,0,0,0,Promoted <=1yr,3,3,2,3,3,2,3,No,0.5887,High
1019,45,Male,Single,Research & Development,Manufacturing Director,Other,4,4,12992,10K-15K,18,1,Travel_Rarely,6,No,23,3,3,2-3 yr,1,1,2,Promoted <=1yr,2,2,4,3,3,3,4,No,0.4313,Moderate
1020,38,Male,Married,Research & Development,Healthcare Representative,Life Sciences,3,3,7772,6K-10K,17,1,Travel_Rarely,1,No,14,5,0,0-1 yr,0,0,0,Promoted <=1yr,3,4,3,3,4,3,3,No,0.3763,Moderate
1021,41,Male,Married,Sales,Sales Representative,Marketing,4,4,11529,10K-15K,23,0,Travel_Rarely,11,No,20,3,1,0-1 yr,0,1,1,Promoted <=1yr,4,3,3,3,2,2,4,No,0.4252,Moderate
1022,43,Male,Single,Sales,Manager,Other,4,4,9162,6K-10K,12,1,Travel_Frequently,10,Yes,22,4,1,0-1 yr,0,0,1,Promoted <=1yr,2,4,3,4,4,3,3,No,0.6481,High
1023,38,Female,Married,Research & Development,Manufacturing Director,Other,2,3,5935,3K-6K,11,1,Travel_Frequently,8,Yes,15,3,2,2-3 yr,0,2,1,Not Recently Promoted,3,1,1,4,4,3,3,Yes,0.8501,Critical
1024,24,Male,Single,Research & Development,Manufacturing Director,Life Sciences,3,1,3092,3K-6K,15,2,Travel_Rarely,24,No,2,1,2,2-3 yr,2,2,2,Not Recently Promoted,1,3,2,2,3,3,3,Yes,0.7548,Critical
1025,36,Male,Married,Sales,Sales Executive,Other,4,3,8004,6K-10K,11,0,Travel_Rarely,1,Yes,11,0,3,2-3 yr,0,3,3,Not Recently Promoted,4,1,3,4,3,1,3,Yes,0.7068,High
1026,31,Female,Divorced,Research & Development,Research Scientist,Other,3,2,5701,3K-6K,24,0,Non-Travel,4,No,10,5,10,7-10 yr,0,4,1,Not Recently Promoted,4,3,4,1,3,2,4,No,0.5709,High
1027,39,Female,Married,Research & Development,Research Director,Technical Degree,4,3,7265,6K-10K,12,2,Non-Travel,3,No,17,1,2,2-3 yr,2,0,2,Promoted <=1yr,3,4,4,4,2,3,3,No,0.1266,Low
1028,35,Male,Divorced,Sales,Sales Executive,Other,1,3,4916,3K-6K,11,1,Travel_Rarely,13,No,12,2,1,0-1 yr,0,1,0,Promoted <=1yr,6,3,2,4,3,3,4,No,0.5275,High
1029,30,Female,Divorced,Sales,Manager,Marketing,3,2,5227,3K-6K,19,0,Travel_Rarely,1,No,10,3,1,0-1 yr,1,1,1,Promoted <=1yr,1,1,4,4,2,3,3,No,0.4958,Moderate
1030,21,Male,Divorced,Research & Development,Manufacturing Director,Technical Degree,3,1,3496,3K-6K,11,3,Travel_Rarely,1,No,0,5,0,0-1 yr,0,0,0,Promoted <=1yr,2,3,3,3,2,4,3,No,0.4905,Moderate
1031,35,Male,Single,Research & Development,Healthcare Representative,Medical,4,4,9043,6K-10K,15,0,Travel_Rarely,12,No,12,2,3,2-3 yr,0,1,2,Promoted <=1yr,3,1,1,3,3,3,3,No,0.6923,High
1032,31,Female,Divorced,Sales,Sales Representative,Life Sciences,1,2,3809,3K-6K,15,1,Travel_Frequently,1,Yes,9,3,8,7-10 yr,1,0,8,Promoted <=1yr,2,3,4,4,3,3,3,No,0.4654,Moderate
1033,31,Female,Single,Research & Development,Laboratory Technician,Medical,5,2,4381,3K-6K,13,0,Travel_Rarely,14,No,10,5,7,7-10 yr,2,1,2,Promoted <=1yr,3,3,4,3,3,3,3,No,0.3711,Moderate
1034,29,Male,Married,Research & Development,Manufacturing Director,Technical Degree,4,2,3622,3K-6K,16,1,Travel_Rarely,5,No,7,1,4,4-6 yr,2,0,1,Promoted <=1yr,3,1,3,4,2,3,3,No,0.522,High
1035,22,Female,Married,Research & Development,Manager,Life Sciences,2,1,2584,<3K (Low),11,0,Travel_Rarely,1,No,1,4,1,0-1 yr,1,1,1,Promoted <=1yr,4,4,3,3,3,1,3,Yes,0.6076,High
1036,33,Female,Single,Research & Development,Healthcare Representative,Technical Degree,2,2,4430,3K-6K,11,1,Travel_Rarely,4,Yes,9,2,0,0-1 yr,0,0,0,Promoted <=1yr,5,3,4,1,4,3,4,No,0.6993,High
1037,38,Male,Married,Research & Development,Manufacturing Director,Life Sciences,3,3,5866,3K-6K,16,2,Travel_Rarely,5,No,16,0,2,2-3 yr,0,0,0,Promoted <=1yr,2,4,4,4,2,2,3,No,0.25,Low
1038,38,Male,Single,Research & Development,Manufacturing Director,Technical Degree,3,3,7692,6K-10K,11,0,Travel_Rarely,1,No,17,2,4,4-6 yr,1,2,4,Not Recently Promoted,4,2,3,4,2,3,3,No,0.4182,Moderate
1039,41,Male,Divorced,Research & Development,Research Scientist,Medical,4,5,13416,10K-15K,14,0,Travel_Frequently,2,No,20,1,7,7-10 yr,0,3,1,Not Recently Promoted,2,3,1,2,2,2,3,No,0.4727,Moderate
1040,46,Female,Married,Research & Development,Research Director,Technical Degree,4,5,15862,15K+ (High),18,1,Travel_Rarely,6,No,24,4,4,4-6 yr,1,0,1,Promoted <=1yr,0,3,4,3,3,3,3,No,0.0931,Low
1041,48,Male,Single,Sales,Sales Representative,Life Sciences,5,5,16554,15K+ (High),15,0,Travel_Rarely,13,No,26,2,18,10+ yr,0,2,3,Not Recently Promoted,3,1,2,2,3,2,4,No,0.4029,Moderate
1042,37,Male,Divorced,Human Resources,Human Resources,Other,4,4,11295,10K-15K,18,0,Travel_Frequently,18,No,14,3,2,2-3 yr,0,2,1,Not Recently Promoted,1,4,4,3,2,3,3,No,0.511,High
1043,37,Male,Married,Research & Development,Research Director,Other,3,3,6901,6K-10K,13,0,Non-Travel,9,No,16,1,3,2-3 yr,3,1,0,Promoted <=1yr,1,4,4,3,2,3,3,No,0.1515,Low
1044,44,Male,Married,Research & Development,Manager,Technical Degree,3,5,19900,15K+ (High),11,0,Travel_Rarely,1,Yes,24,1,1,0-1 yr,1,0,1,Promoted <=1yr,5,3,3,2,2,2,4,No,0.3821,Moderate
1045,35,Female,Single,Research & Development,Laboratory Technician,Other,4,4,10713,10K-15K,13,0,Travel_Frequently,1,No,12,2,1,0-1 yr,1,1,1,Promoted <=1yr,1,2,2,2,3,3,3,Yes,0.3837,Moderate
1046,30,Female,Married,Sales,Sales Executive,Other,1,2,5413,3K-6K,15,1,Travel_Frequently,11,No,9,1,0,0-1 yr,0,0,0,Promoted <=1yr,4,1,2,4,2,3,3,Yes,0.6447,High
1047,35,Female,Married,Research & Development,Research Scientist,Other,4,3,7566,6K-10K,11,0,Travel_Rarely,4,No,12,1,3,2-3 yr,3,3,0,Not Recently Promoted,2,3,1,1,2,3,4,No,0.2898,Moderate
1048,39,Female,Married,Sales,Sales Representative,Life Sciences,2,3,5384,3K-6K,15,0,Travel_Rarely,3,No,16,3,7,7-10 yr,0,2,0,Not Recently Promoted,1,2,1,3,1,2,3,No,0.4841,Moderate
1049,43,Male,Married,Research & Development,Research Director,Other,3,4,9443,6K-10K,13,1,Travel_Rarely,1,No,22,4,1,0-1 yr,1,0,1,Promoted <=1yr,2,4,4,4,3,3,3,No,0.1476,Low
1050,38,Male,Divorced,Sales,Sales Executive,Life Sciences,2,3,4908,3K-6K,14,2,Non-Travel,5,No,15,0,8,7-10 yr,1,1,0,Promoted <=1yr,3,1,1,2,2,3,4,No,0.5463,High
1051,46,Male,Single,Research & Development,Research Director,Other,4,5,15206,15K+ (High),16,1,Travel_Rarely,28,No,25,3,10,7-10 yr,1,3,3,Not Recently Promoted,1,1,1,2,2,4,3,No,0.3848,Moderate
1052,27,Male,Divorced,Research & Development,Manager,Medical,4,1,1327,<3K (Low),11,2,Travel_Rarely,6,No,5,2,5,4-6 yr,1,0,1,Promoted <=1yr,4,1,1,3,2,2,4,No,0.7941,Critical
1053,48,Female,Single,Research & Development,Research Scientist,Technical Degree,3,5,15710,15K+ (High),16,0,Travel_Rarely,18,No,26,2,5,4-6 yr,3,1,5,Promoted <=1yr,4,3,1,2,3,3,3,No,0.2678,Moderate
1054,29,Female,Single,Research & Development,Laboratory Technician,Other,1,2,5114,3K-6K,11,1,Travel_Rarely,14,Yes,7,3,7,7-10 yr,1,0,6,Promoted <=1yr,4,4,4,1,2,2,3,No,0.4952,Moderate
1055,28,Female,Divorced,Sales,Sales Representative,Life Sciences,1,2,5235,3K-6K,18,3,Travel_Rarely,16,No,8,0,2,2-3 yr,2,0,1,Promoted <=1yr,4,3,2,4,3,3,3,Yes,0.4687,Moderate
1056,43,Male,Divorced,Research & Development,Laboratory Technician,Medical,4,5,16128,15K+ (High),11,2,Travel_Rarely,1,No,22,2,16,10+ yr,3,0,4,Promoted <=1yr,5,3,1,4,4,3,3,No,0.1179,Low
1057,52,Male,Single,Sales,Sales Executive,Other,4,5,17234,15K+ (High),14,1,Travel_Rarely,7,No,32,2,15,10+ yr,0,2,0,Not Recently Promoted,5,2,3,1,3,3,3,Yes,0.3304,Moderate
1058,24,Female,Married,Sales,Sales Representative,Marketing,3,1,1493,<3K (Low),16,0,Travel_Rarely,1,Yes,1,2,0,0-1 yr,0,0,0,Promoted <=1yr,1,2,3,4,3,3,4,No,0.6481,High
1059,45,Female,Divorced,Research & Development,Healthcare Representative,Life Sciences,1,5,15791,15K+ (High),12,1,Travel_Frequently,6,No,24,1,1,0-1 yr,0,1,1,Promoted <=1yr,2,2,4,3,3,3,4,No,0.3219,Moderate
1060,42,Male,Married,Research & Development,Research Director,Medical,1,4,13399,10K-15K,18,1,Travel_Frequently,12,No,19,2,3,2-3 yr,3,0,1,Promoted <=1yr,3,4,3,2,3,3,3,No,0.2771,Moderate
1061,48,Male,Single,Sales,Sales Executive,Life Sciences,3,5,20000,15K+ (High),15,0,Travel_Rarely,1,No,26,2,2,2-3 yr,0,2,1,Not Recently Promoted,3,3,3,2,2,3,3,No,0.2067,Low
1062,60,Male,Single,Research & Development,Manager,Other,4,5,11812,10K-15K,22,1,Travel_Frequently,4,No,37,2,3,2-3 yr,2,0,3,Promoted <=1yr,2,3,3,3,2,3,3,No,0.3414,Moderate
1063,33,Female,Single,Research & Development,Research Director,Medical,4,3,7563,6K-10K,22,2,Travel_Rarely,3,No,11,2,11,10+ yr,1,3,2,Not Recently Promoted,1,3,3,3,3,3,3,No,0.3397,Moderate
1064,43,Female,Divorced,Research & Development,Manufacturing Director,Technical Degree,1,4,9714,6K-10K,16,0,Travel_Rarely,11,No,18,2,6,4-6 yr,1,3,6,Not Recently Promoted,2,4,4,3,1,3,3,No,0.267,Moderate
1065,19,Male,Married,Sales,Sales Executive,Other,4,1,2907,<3K (Low),19,1,Non-Travel,1,Yes,0,4,0,0-1 yr,0,0,0,Promoted <=1yr,5,3,4,2,3,4,3,Yes,0.7286,High
1066,20,Male,Married,Research & Development,Laboratory Technician,Other,1,1,2785,<3K (Low),11,3,Travel_Frequently,1,No,0,0,0,0-1 yr,0,0,0,Promoted <=1yr,4,1,3,4,3,4,4,No,0.4941,Moderate
1067,35,Male,Single,Research & Development,Research Director,Life Sciences,3,3,7458,6K-10K,11,0,Travel_Rarely,11,No,13,3,5,4-6 yr,5,0,1,Promoted <=1yr,3,4,2,3,3,4,3,No,0.2577,Moderate
1068,29,Male,Married,Research & Development,Manager,Medical,4,2,4933,3K-6K,17,1,Travel_Rarely,1,No,7,2,5,4-6 yr,0,4,4,Not Recently Promoted,2,3,3,2,3,3,3,No,0.4029,Moderate
1069,37,Male,Married,Sales,Sales Executive,Marketing,1,3,9207,6K-10K,15,1,Travel_Rarely,1,No,13,2,11,10+ yr,3,3,1,Not Recently Promoted,5,4,2,3,3,3,3,No,0.3234,Moderate
1070,29,Female,Single,Research & Development,Healthcare Representative,Technical Degree,3,2,3713,3K-6K,16,3,Travel_Frequently,7,No,7,2,0,0-1 yr,0,0,0,Promoted <=1yr,4,3,2,3,3,4,3,No,0.5788,High
1071,23,Male,Divorced,Research & Development,Manufacturing Director,Medical,2,1,2861,<3K (Low),17,1,Travel_Rarely,1,No,2,6,0,0-1 yr,0,0,0,Promoted <=1yr,2,3,1,1,3,4,3,No,0.6079,High
1072,36,Male,Married,Sales,Manager,Marketing,3,3,7997,6K-10K,12,2,Travel_Rarely,1,Yes,16,4,0,0-1 yr,0,0,0,Promoted <=1yr,4,1,1,2,3,2,4,No,0.8032,Critical
1073,35,Male,Single,Research & Development,Research Director,Medical,3,3,9158,6K-10K,12,2,Travel_Rarely,5,Yes,14,5,9,7-10 yr,0,0,0,Promoted <=1yr,1,2,4,3,3,3,3,Yes,0.5767,High
1074,43,Female,Divorced,Research & Development,Manufacturing Director,Medical,3,4,9121,6K-10K,15,0,Travel_Rarely,7,No,22,7,6,4-6 yr,4,0,1,Promoted <=1yr,3,4,3,1,3,3,3,No,0.4335,Moderate
1075,35,Male,Single,Sales,Sales Executive,Life Sciences,2,3,7112,6K-10K,12,0,Non-Travel,14,No,14,3,0,0-1 yr,0,0,0,Promoted <=1yr,1,4,3,2,3,3,3,Yes,0.4798,Moderate
1076,28,Female,Single,Research & Development,Manufacturing Director,Technical Degree,3,1,2658,<3K (Low),13,0,Travel_Rarely,3,No,4,0,4,4-6 yr,2,3,4,Not Recently Promoted,1,4,3,4,3,2,3,No,0.4155,Moderate
1077,31,Female,Divorced,Human Resources,Manager,Other,3,2,5093,3K-6K,11,0,Travel_Rarely,1,Yes,7,3,2,2-3 yr,2,0,1,Promoted <=1yr,2,2,3,4,3,2,3,Yes,0.7041,High
1078,44,Female,Married,Sales,Manager,Life Sciences,3,4,9123,6K-10K,15,0,Travel_Rarely,22,No,21,3,0,0-1 yr,0,0,0,Promoted <=1yr,4,2,4,3,3,2,3,No,0.4387,Moderate
1079,39,Female,Married,Research & Development,Manufacturing Director,Other,2,3,5224,3K-6K,14,1,Travel_Rarely,7,Yes,17,0,12,10+ yr,0,0,0,Promoted <=1yr,4,4,4,4,3,4,3,No,0.3985,Moderate
1080,44,Female,Divorced,Research & Development,Research Scientist,Other,3,4,10941,10K-15K,20,1,Travel_Rarely,1,No,22,0,2,2-3 yr,1,2,2,Not Recently Promoted,2,3,1,2,2,3,3,No,0.2807,Moderate
1081,34,Male,Single,Research & Development,Healthcare Representative,Technical Degree,3,3,6406,6K-10K,12,2,Travel_Frequently,1,No,12,3,8,7-10 yr,3,0,6,Promoted <=1yr,0,3,4,4,2,3,3,No,0.2589,Moderate
1082,42,Male,Divorced,Research & Development,Research Director,Life Sciences,2,4,12350,10K-15K,11,0,Travel_Rarely,3,Yes,20,1,6,4-6 yr,5,0,2,Promoted <=1yr,3,4,3,3,3,3,3,No,0.2644,Moderate
1083,33,Male,Married,Sales,Sales Executive,Marketing,2,2,4117,3K-6K,18,0,Travel_Frequently,10,No,11,0,3,2-3 yr,1,0,3,Promoted <=1yr,4,4,4,3,4,2,3,No,0.4445,Moderate
1084,24,Female,Divorced,Sales,Sales Representative,Life Sciences,3,1,2756,<3K (Low),19,0,Travel_Rarely,1,No,0,4,0,0-1 yr,0,0,0,Promoted <=1yr,5,1,4,4,3,2,3,Yes,0.7221,High
1085,32,Female,Married,Sales,Sales Representative,Marketing,4,2,4204,3K-6K,11,2,Travel_Rarely,8,Yes,9,4,2,2-3 yr,2,0,2,Promoted <=1yr,2,4,2,4,3,3,3,No,0.4892,Moderate
1086,39,Male,Married,Research & Development,Manager,Other,1,4,10384,10K-15K,21,0,Travel_Frequently,11,No,18,4,10,7-10 yr,0,1,0,Promoted <=1yr,0,4,4,4,4,3,3,No,0.388,Moderate
1087,34,Male,Single,Human Resources,Human Resources,Human Resources,3,3,8624,6K-10K,22,2,Travel_Rarely,7,No,14,1,0,0-1 yr,0,0,0,Promoted <=1yr,4,4,3,4,3,2,3,No,0.4902,Moderate
1088,36,Female,Married,Research & Development,Research Scientist,Medical,3,3,6353,6K-10K,11,3,Travel_Rarely,1,Yes,14,2,5,4-6 yr,2,2,0,Not Recently Promoted,5,1,3,3,3,4,3,No,0.6095,High
1089,38,Male,Married,Sales,Sales Representative,Life Sciences,3,3,8157,6K-10K,13,3,Travel_Frequently,13,No,15,3,8,7-10 yr,5,0,0,Promoted <=1yr,1,1,3,1,2,2,3,No,0.554,High
1090,44,Male,Single,Human Resources,Manager,Other,2,5,15453,15K+ (High),13,2,Travel_Rarely,9,Yes,24,2,1,0-1 yr,1,1,0,Promoted <=1yr,5,3,4,2,2,1,3,No,0.677,High
1091,38,Female,Divorced,Human Resources,Human Resources,Human Resources,1,3,5853,3K-6K,14,3,Travel_Rarely,1,No,15,2,5,4-6 yr,2,0,4,Promoted <=1yr,2,3,3,2,3,3,3,No,0.3478,Moderate
1092,37,Male,Married,Sales,Sales Executive,Life Sciences,4,4,12421,10K-15K,23,2,Travel_Rarely,7,Yes,16,2,4,4-6 yr,4,3,0,Not Recently Promoted,6,2,2,2,3,2,3,No,0.7644,Critical
1093,47,Male,Single,Research & Development,Research Scientist,Medical,2,5,16349,15K+ (High),12,0,Travel_Rarely,5,No,25,0,12,10+ yr,1,1,0,Promoted <=1yr,3,2,4,4,3,2,3,No,0.225,Low
1094,29,Male,Married,Research & Development,Research Director,Other,2,2,4679,3K-6K,11,0,Non-Travel,26,No,8,1,0,0-1 yr,0,0,0,Promoted <=1yr,2,4,3,4,2,3,3,No,0.2788,Moderate
1095,27,Female,Married,Research & Development,Healthcare Representative,Technical Degree,3,2,5057,3K-6K,18,0,Travel_Frequently,10,No,6,3,5,4-6 yr,3,2,2,Not Recently Promoted,5,4,2,2,2,3,3,Yes,0.5114,High
1096,20,Male,Single,Research & Development,Research Scientist,Life Sciences,2,1,3492,3K-6K,14,1,Travel_Rarely,4,No,0,4,0,0-1 yr,0,0,0,Promoted <=1yr,1,2,1,3,3,1,3,No,0.7665,Critical
1097,19,Male,Single,Research & Development,Laboratory Technician,Medical,4,1,2366,<3K (Low),15,0,Travel_Rarely,14,No,0,4,0,0-1 yr,0,0,0,Promoted <=1yr,1,3,2,1,3,3,3,No,0.579,High
1098,26,Female,Divorced,Research & Development,Research Director,Medical,3,1,2642,<3K (Low),17,3,Travel_Rarely,1,No,5,1,2,2-3 yr,0,1,2,Promoted <=1yr,1,4,4,3,3,3,3,No,0.2312,Low
1099,32,Male,Divorced,Sales,Sales Representative,Marketing,2,2,5042,3K-6K,12,1,Travel_Rarely,13,No,10,1,3,2-3 yr,1,0,0,Promoted <=1yr,4,3,4,3,3,4,3,Yes,0.384,Moderate
1100,50,Male,Married,Human Resources,Manager,Human Resources,4,5,15319,15K+ (High),14,2,Travel_Rarely,11,No,27,2,23,10+ yr,0,1,2,Promoted <=1yr,0,3,4,4,3,3,3,No,0.0777,Low
1101,27,Male,Single,Research & Development,Manager,Life Sciences,1,1,2348,<3K (Low),11,3,Travel_Rarely,6,No,5,2,0,0-1 yr,0,0,0,Promoted <=1yr,3,2,4,3,3,1,3,Yes,0.7166,High
1102,18,Male,Married,Research & Development,Healthcare Representative,Life Sciences,3,1,2611,<3K (Low),16,1,Travel_Rarely,3,Yes,0,2,0,0-1 yr,0,0,0,Promoted <=1yr,4,4,2,2,2,2,3,No,0.7528,Critical
1103,36,Male,Single,Sales,Sales Executive,Life Sciences,2,3,6596,6K-10K,18,1,Non-Travel,12,No,13,4,13,10+ yr,3,1,1,Promoted <=1yr,2,1,4,4,2,2,3,No,0.6095,High
1104,52,Female,Married,Research & Development,Laboratory Technician,Technical Degree,3,5,20000,15K+ (High),13,1,Travel_Frequently,1,Yes,30,1,5,4-6 yr,0,1,3,Promoted <=1yr,6,3,3,1,1,3,3,No,0.1978,Low
1105,21,Female,Married,Sales,Manager,Marketing,2,1,3333,3K-6K,12,1,Travel_Rarely,1,No,0,3,0,0-1 yr,0,0,0,Promoted <=1yr,4,4,1,1,3,4,3,No,0.3197,Moderate
1106,38,Female,Married,Research & Development,Manager,Medical,3,3,8397,6K-10K,13,0,Travel_Rarely,4,No,16,2,3,2-3 yr,0,0,3,Promoted <=1yr,6,2,1,3,2,3,3,No,0.5305,High
1107,36,Male,Married,Research & Development,Manufacturing Director,Other,1,3,5926,3K-6K,12,1,Travel_Rarely,8,No,16,2,0,0-1 yr,0,0,0,Promoted <=1yr,6,3,1,4,1,4,4,No,0.4571,Moderate
1108,43,Male,Single,Research & Development,Manager,Medical,3,4,11216,10K-15K,16,0,Travel_Rarely,7,No,21,3,2,2-3 yr,1,0,2,Promoted <=1yr,1,3,3,3,3,2,3,No,0.5483,High
1109,50,Male,Single,Sales,Sales Representative,Marketing,3,5,20000,15K+ (High),12,0,Travel_Rarely,4,Yes,30,2,0,0-1 yr,0,0,0,Promoted <=1yr,5,4,4,3,3,2,3,No,0.2876,Moderate
1110,60,Female,Married,Sales,Sales Representative,Other,3,5,19174,15K+ (High),14,1,Travel_Frequently,11,No,38,1,20,10+ yr,0,3,0,Not Recently Promoted,3,2,3,2,2,3,3,No,0.1748,Low
1111,33,Female,Divorced,Research & Development,Manufacturing Director,Technical Degree,4,3,7176,6K-10K,11,0,Travel_Rarely,14,No,11,3,2,2-3 yr,2,0,0,Promoted <=1yr,1,1,1,3,3,4,3,Yes,0.6393,High
1112,32,Male,Single,Research & Development,Research Scientist,Medical,2,2,4611,3K-6K,18,0,Travel_Rarely,1,No,11,1,2,2-3 yr,2,2,2,Not Recently Promoted,3,3,3,3,1,4,3,No,0.3373,Moderate
1113,34,Female,Married,Sales,Sales Representative,Other,3,2,4149,3K-6K,19,1,Travel_Frequently,6,No,11,2,11,10+ yr,3,1,2,Promoted <=1yr,3,4,1,4,2,3,3,No,0.2875,Moderate
1114,31,Female,Married,Research & Development,Research Director,Medical,3,2,3785,3K-6K,12,1,Travel_Rarely,3,No,9,2,0,0-1 yr,0,0,0,Promoted <=1yr,1,2,3,1,3,3,4,No,0.3769,Moderate
1115,30,Male,Married,Sales,Sales Representative,Marketing,1,2,4530,3K-6K,15,2,Travel_Rarely,4,No,10,3,6,4-6 yr,1,0,0,Promoted <=1yr,4,3,2,2,2,2,3,Yes,0.4881,Moderate
1116,22,Female,Single,Sales,Sales Executive,Marketing,2,1,3545,3K-6K,11,2,Travel_Rarely,1,No,1,2,1,0-1 yr,1,1,1,Promoted <=1yr,3,2,2,1,3,3,3,No,0.6908,High
1117,43,Female,Divorced,Research & Development,Manager,Medical,3,4,13020,10K-15K,18,0,Travel_Rarely,1,No,23,2,5,4-6 yr,3,1,0,Promoted <=1yr,2,4,4,4,2,3,3,No,0.1725,Low
